DATE;DAY;MONTH;WEEKDAY;PM2.5(AQI);PM10(AQI);O3(AQI);NO2(AQI);SO2(AQI);PRECIPITATIONS(mm);TAVG(C);TMAX(C);TMIN(C);PRESSURE(hPa);WINDSPEED(km/h);HUMIDITY(percentage)
01/01/2014;1;1;3;34;11;21;22;2;5.5;8.2;9.9;7;1021.1;10.2;93.7
02/01/2014;2;1;4;36;14;23;25;1;5.4;10.9;12.7;9.3;1016.3;14.6;91.3
03/01/2014;3;1;5;40;10;30;15;1;7.7;11.8;13.4;10.7;1016.0;20.7;89.2
04/01/2014;4;1;6;26;15;26;17;1;5.8;8.6;11.2;3.7;1017.5;19.4;89.0
05/01/2014;5;1;7;36;19;23;22;2;0.5;6.4;9.1;3.6;1018.9;25.8;76.0
06/01/2014;6;1;1;43;22;16;28;3;0;9.3;11.9;6.4;1023.0;9.7;91.0
07/01/2014;7;1;2;81;25;11;31;6;0;10.3;14.4;7;1020.9;9.1;80.9
08/01/2014;8;1;3;68;37;5;48;9;0;7.9;14.7;3.8;1022.6;5.0;82.8
09/01/2014;9;1;4;83;32;6;40;10;0;7.2;14.9;2.2;1023.7;6.3;80.9
10/01/2014;10;1;5;69;35;7;36;4;0;7.7;15;1.6;1020.2;6.2;78.4
11/01/2014;11;1;6;76;39;3;29;3;0;8;14.1;3.6;1016.9;5.2;74.5
12/01/2014;12;1;7;91;16;27;28;2;4.8;5.4;8.4;2.1;1022.4;3.9;86.5
13/01/2014;13;1;1;41;14;24;21;2;0;8.5;11.4;6;1024.3;4.5;94.5
14/01/2014;14;1;2;35;19;18;28;2;0;9.2;13.1;6;1019.2;21.9;70.5
15/01/2014;15;1;3;44;12;26;23;2;4;8.7;10.5;5.5;1016.7;16.1;82.8
16/01/2014;16;1;4;35;15;18;23;1;0;8.5;10.4;5.3;1013.2;13.7;89.0
17/01/2014;17;1;5;34;10;25;22;2;7.4;6.4;9.4;3;1009.6;16.1;80.4
18/01/2014;18;1;6;32;11;25;21;2;2.7;6.9;10.1;5.2;999.9;16.1;83.8
19/01/2014;19;1;7;38;16;28;30;3;3.9;5.3;9;3.2;996.3;10.1;86.1
20/01/2014;20;1;1;40;20;18;34;3;0;6.4;10.5;2;1008.7;14.3;71.9
21/01/2014;21;1;2;50;8;16;26;3;10;4.4;10;-1.6;1019.6;12.0;70.7
22/01/2014;22;1;3;30;10;16;21;4;5.8;7.9;13;5.5;1015.5;11.0;86.0
27/01/2014;27;1;1;25;13;27;26;2;0;10.1;12.1;6.7;1018.4;16.3;65.8
28/01/2014;28;1;2;32;17;28;25;3;0.3;6.8;8.9;4.6;1013.6;31.2;53.3
29/01/2014;29;1;3;39;16;27;24;3;1;6.4;9.5;4.4;1002.0;26.9;80.6
30/01/2014;30;1;4;39;17;26;27;2;0;6.4;11.5;1.1;1004.7;10.9;66.5
31/01/2014;31;1;5;45;11;31;16;2;0;9.4;13.3;6.4;1010.9;16.2;61.1
01/02/2014;1;2;6;28;15;25;21;3;0;9.4;12.9;2.8;1011.2;17.4;74.6
02/02/2014;2;2;7;38;24;23;32;3;0;3.7;10.1;-2.1;1017.4;20.2;60.3
03/02/2014;3;2;1;49;12;24;21;1;0.8;2.7;8.5;-2.2;1018.1;6.9;69.0
04/02/2014;4;2;2;32;10;26;14;1;4.5;5.5;8.6;1.4;1014.4;13.4;78.4
05/02/2014;5;2;3;30;17;27;19;2;0;9.5;12.8;7.9;1009.1;23.8;87.9
06/02/2014;6;2;4;29;14;23;18;2;2.5;10.9;17.1;7.9;1014.1;18.1;76.2
09/02/2014;9;2;7;35;15;31;14;2;13.8;4.7;8.2;3.2;1012.2;20.9;74.4
10/02/2014;10;2;1;38;16;26;25;1;0;6.7;9.7;3.5;1000.7;24.8;84.0
11/02/2014;11;2;2;41;19;20;30;2;8.6;4.1;5.8;1.7;1017.8;23.3;60.9
12/02/2014;12;2;3;48;19;22;25;2;0.3;4.7;7.8;3.1;1018.8;10.4;93.4
13/02/2014;13;2;4;47;14;20;18;2;0.5;11.1;17.4;4.7;1020.4;9.3;92.5
14/02/2014;14;2;5;33;11;28;21;1;6.3;12.8;16.1;10.1;1016.3;18.1;83.3
15/02/2014;15;2;6;32;16;23;25;3;0.8;8.2;10.3;6.2;1010.0;22.7;82.6
16/02/2014;16;2;7;42;24;15;35;5;0;6.4;11.6;1.5;1015.4;6.7;86.6
17/02/2014;17;2;1;52;23;20;33;5;0;4;10.9;-0.9;1013.7;6.8;80.2
18/02/2014;18;2;2;54;30;17;45;5;0;6.6;12.7;2.3;1018.8;6.6;75.7
19/02/2014;19;2;3;64;30;20;35;4;0;6.4;15.4;-0.9;1023.5;7.4;74.3
20/02/2014;20;2;4;60;13;32;22;2;0.8;6.8;13.3;0.1;1019.5;4.4;71.5
21/02/2014;21;2;5;30;20;29;24;2;0;8.8;12.5;2.4;1023.6;15.8;75.5
22/02/2014;22;2;6;44;17;28;23;3;0;5.7;13.2;-1.7;1024.8;7.8;62.6
23/02/2014;23;2;7;43;19;25;25;2;0;6.8;15.7;0.8;1014.8;10.9;67.6
24/02/2014;24;2;1;45;19;24;18;2;1.3;7.4;11.6;3.8;1019.2;10.7;66.7
25/02/2014;25;2;2;41;18;28;19;2;0;7.3;12;2.1;1021.3;11.7;81.2
